id,a0,a1,a2,a3,a4,
cero,13.26320,245.35000,34.84210,0,-1,
cero,12.67870,184.43900,31.90690,0,-1,
cero,12.81240,82.47910,32.31740,0,-1,
cero,13.92860,294.87500,34.44640,0,-1,
cero,14.37930,293.82600,37.28020,0,-1,
cero,11.00000,177.02000,30.54170,0,-1,
cero,14.22880,76.59250,39.78580,0,-1,
cero,11.88300,7.13324,30.00510,0,-1,
cero,14.79310,102.39300,33.14220,0,-1,
cero,14.10000,87.94660,31.22500,0,-1,
cero,12.28570,103.38900,34.04760,0,-1,
cero,14.16610,78.71890,34.75440,0,-1,
cero,13.61540,270.74600,31.94230,0,-1,
cero,12.69230,34.98480,32.17310,0,-1,
cero,14.14320,10.51530,34.49460,0,-1,
cero,13.13790,127.06000,30.52150,0,-1,
cero,14.32720,58.74680,31.60970,0,-1,
cero,12.00000,102.53100,32.00000,0,-1,
cero,14.25430,140.38500,42.49860,0,-1,
cero,14.34470,80.74500,41.48580,0,-1,
cero,13.80570,93.19380,32.49480,0,-1,
cero,12.27270,32.58290,32.04550,0,-1,
cero,14.35710,105.36200,37.16070,0,-1,
cero,12.77140,182.98900,32.28930,0,-1,
cero,12.87100,143.38300,30.32660,0,-1,
cero,14.04860,215.87500,34.66850,0,-1,
cero,13.65150,212.72600,36.67920,0,-1,
cero,14.53850,190.45500,37.32690,0,-1,
cero,13.23920,196.07400,32.90750,0,-1,
cero,13.87060,286.30400,32.37700,0,-1,
cero,10.20000,66.85070,33.57500,0,-1,
cero,13.75000,73.55680,32.02080,0,-1,
cero,14.81250,69.40420,40.51560,0,-1,
cero,12.18750,72.34810,31.01560,0,-1,
cero,11.92310,92.68120,30.00320,0,-1,
cero,13.06450,196.38500,43.48790,0,-1,
cero,12.52940,39.65490,30.13240,0,-1,
cero,12.99590,112.57500,31.38080,0,-1,
cero,13.70370,253.04900,32.22270,0,-1,
cero,14.81250,261.73700,46.51560,0,-1,
cero,15.27520,252.86400,33.13390,0,-1,
cero,12.71430,103.09300,30.14880,0,-1,
cero,11.86360,155.86200,31.01140,0,-1,
cero,14.42860,183.83300,35.72020,0,-1,
cero,16.84370,324.07500,41.48070,0,-1,
cero,12.81820,174.48600,30.30680,0,-1,
cero,12.68190,215.12100,33.18940,0,-1,
cero,13.07140,248.80800,30.44640,0,-1,
cero,12.81820,302.89100,36.30680,0,-1,
cero,14.09770,163.24600,31.72640,0,-1,
cero,13.69420,297.43700,34.66350,0,-1,
cero,15.36970,57.51210,33.52060,0,-1,
cero,11.94120,292.14600,40.00250,0,-1,
cero,13.85710,163.73800,46.01190,0,-1,
cero,13.63560,289.73400,35.70480,0,-1,
cero,12.47370,274.58000,32.11840,0,-1,
cero,14.95950,273.86800,33.73320,0,-1,
cero,13.83390,262.69700,32.49280,0,-1,
cero,14.39830,139.24200,37.40900,0,-1,
cero,12.70590,128.67600,31.23530,0,-1,
cero,15.48380,36.40420,35.42200,0,-1,
cero,13.05410,85.68120,32.57090,0,-1,
cero,14.80650,215.74000,44.39110,0,-1,
cero,11.80000,76.59530,31.01670,0,-1,
cero,12.90630,56.60280,33.12050,0,-1,
cero,14.00000,13.79560,39.00000,0,-1,
cero,14.41580,84.88000,37.76070,0,-1,
cero,13.00000,3.26082,31.37500,0,-1,
cero,11.89660,349.32300,30.00430,0,-1,
cero,12.08570,45.76640,33.00360,0,-1,
cero,13.84620,19.37260,31.23080,0,-1,
cero,14.71430,69.05640,32.14880,0,-1,
cero,12.60000,187.62600,31.17500,0,-1,
cero,12.39130,339.77900,31.04890,0,-1,
cero,13.61540,70.34940,30.94230,0,-1,
cero,15.21430,46.14450,45.01790,0,-1,
cero,12.75000,149.28500,31.25000,0,-1,
cero,12.42860,45.45260,40.10710,0,-1,
cero,12.70590,83.85810,30.23530,0,-1,
cero,12.18750,264.44700,30.01560,0,-1,
cero,17.47060,197.21200,39.06620,0,-1,
cero,12.20930,320.78400,36.02620,0,-1,
cero,13.50000,133.79100,31.87500,0,-1,
cero,12.95450,124.54000,42.55680,0,-1,
cero,13.50000,261.51500,42.12500,0,-1,
cero,12.69230,228.26800,30.17310,0,-1,
cero,12.93870,42.46080,45.46770,0,-1,
cero,12.67250,38.60170,52.37730,0,-1,
cero,13.89100,210.94500,32.34040,0,-1,
cero,12.42860,234.83700,33.10710,0,-1,
cero,14.35710,104.03600,37.16070,0,-1,
cero,10.58820,311.11600,30.94120,0,-1,
cero,12.84620,241.28500,47.38780,0,-1,
cero,12.72410,253.32100,31.21120,0,-1,
cero,12.91030,334.40800,30.37080,0,-1,
cero,12.88240,28.80200,33.36760,0,-1,
cero,12.38500,110.59900,31.07660,0,-1,
cero,14.24360,146.83700,47.27800,0,-1,
cero,12.27280,93.20240,32.01890,0,-1,
cero,13.87500,194.90800,41.56250,0,-1,
cero,11.57140,70.16530,36.08930,0,-1,
cero,13.63000,335.19300,31.63710,0,-1,
cero,12.82650,254.82600,41.40170,0,-1,
cero,12.51220,91.00790,32.14940,0,-1,
cero,13.26320,262.03400,38.84210,0,-1,
cero,14.17240,114.38300,31.90090,0,-1,
cero,12.28620,197.70800,33.26140,0,-1,
cero,14.14290,287.81600,31.33930,0,-1,
cero,13.58820,306.95300,31.59560,0,-1,
cero,12.73740,278.90800,33.95340,0,-1,
cero,15.55420,211.87700,38.53360,0,-1,
cero,11.72930,311.28200,30.03130,0,-1,
cero,12.49490,231.19400,33.75640,0,-1,
cero,18.00000,251.23100,46.00000,0,-1,
cero,13.61710,69.67860,35.93940,0,-1,
cero,16.04430,346.20200,34.06340,0,-1,
cero,12.60000,162.78300,35.22500,0,-1,
cero,13.26320,159.48900,42.84210,0,-1,
cero,12.80000,53.30720,30.26670,0,-1,
cero,11.33330,199.70100,32.22220,0,-1,
cero,10.71430,109.60400,34.64290,0,-1,
cero,13.26170,260.68100,42.34570,0,-1,
cero,12.62500,51.23560,47.26040,0,-1,
cero,14.36840,241.04300,44.96050,0,-1,
cero,11.40000,154.42500,36.17500,0,-1,
cero,14.35020,237.92500,38.15080,0,-1,
cero,13.68750,102.35000,35.26560,0,-1,
cero,13.88890,240.56100,33.33800,0,-1,
cero,12.34720,357.76500,31.34010,0,-1,
cero,12.00000,2.38311,38.00000,0,-1,
cero,11.25000,108.20600,35.31250,0,-1,
cero,13.44440,0.69147,33.78240,0,-1,
cero,12.93750,138.48600,40.39060,0,-1,
cero,13.90910,62.59680,33.11360,0,-1,
cero,12.11110,82.97720,34.00930,0,-1,
cero,13.92860,317.22500,32.44640,0,-1,
cero,13.90910,200.48100,31.67050,0,-1,
cero,13.32360,224.98800,30.70910,0,-1,
cero,16.17850,226.10800,36.89320,0,-1,
cero,11.89660,83.04280,38.00430,0,-1,
cero,14.78530,3.78445,33.34670,0,-1,
cero,14.52080,209.75400,42.06940,0,-1,
cero,12.83330,264.38400,33.34720,0,-1,
cero,11.62500,78.65310,30.03130,0,-1,
cero,14.00000,289.81900,36.66670,0,-1,
cero,13.00000,281.75500,38.50000,0,-1,
cero,12.38460,239.69700,37.08010,0,-1,
cero,12.78260,210.29300,37.39130,0,-1,
cero,14.45450,284.31200,34.84090,0,-1,
cero,12.97590,84.92560,38.85450,0,-1,
cero,13.20000,58.95030,32.40000,0,-1,
cero,12.21430,253.53300,30.01790,0,-1,
cero,12.25000,344.91900,41.04170,0,-1,
cero,14.75000,199.04100,35.52080,0,-1,
cero,13.83870,66.74640,35.45560,0,-1,
cero,13.50000,254.92900,36.12500,0,-1,
cero,12.72970,79.09900,31.27370,0,-1,
cero,13.34480,137.83600,42.72850,0,-1,
cero,11.86960,193.05000,30.00540,0,-1,
cero,12.87100,14.12880,33.32660,0,-1,
cero,12.60000,150.03500,30.15000,0,-1,
cero,14.47830,210.84600,31.96200,0,-1,
cero,13.00000,49.25620,32.33330,0,-1,
cero,13.34480,244.25500,32.72850,0,-1,
cero,12.94290,239.53700,34.43210,0,-1,
cero,14.77810,49.61810,35.33740,0,-1,
cero,12.88240,211.21300,33.36760,0,-1,
cero,13.26320,280.78000,37.84210,0,-1,
cero,11.91890,22.57520,31.00340,0,-1,
cero,12.79220,305.16700,44.54430,0,-1,
cero,15.04480,4.24896,36.09220,0,-1,
cero,13.00000,287.92800,43.58330,0,-1,
cero,16.89590,227.44900,45.01630,0,-1,
cero,11.04880,173.15800,33.51520,0,-1,
cero,11.81250,333.62700,30.01560,0,-1,
cero,12.15000,335.88500,34.01250,0,-1,
cero,13.00000,342.96600,38.50000,0,-1,
cero,15.44700,312.27300,34.22530,0,-1,
cero,14.50760,238.45000,37.18590,0,-1,
cero,14.08290,282.76800,33.49370,0,-1,
cero,13.28570,280.89500,36.80360,0,-1,
cero,10.71430,217.75500,30.64290,0,-1,
cero,10.57140,90.72290,34.19050,0,-1,
cero,13.43480,356.18300,30.65760,0,-1,
cero,13.03330,0.15086,33.39710,0,-1,
cero,14.25000,43.40870,35.68750,0,-1,
cero,13.25000,41.40000,33.52080,0,-1,
cero,11.33330,41.68430,34.11110,0,-1,
cero,13.16340,235.43600,37.72850,0,-1,
cero,15.88450,220.64500,34.15210,0,-1,
cero,10.93730,57.20110,32.38870,0,-1,
cero,11.21050,307.32300,31.32890,0,-1,
cero,11.28570,324.47800,34.14880,0,-1,
cero,12.06980,356.94600,33.00290,0,-1,
cero,12.67740,56.75730,30.19760,0,-1,
cero,11.64710,104.61100,30.05880,0,-1,
cero,13.62860,149.94200,37.28930,0,-1,
cero,13.61280,172.86700,30.70490,0,-1,
cero,12.06290,325.78800,38.91610,0,-1,
cero,11.82350,79.50780,34.01470,0,-1,
cero,13.13970,347.67300,35.36280,0,-1,
cero,12.40000,247.61400,30.06670,0,-1,
cero,11.90910,344.16900,35.00380,0,-1,
cero,15.22680,90.87270,35.34430,0,-1,
cero,12.65220,314.43700,36.13590,0,-1,
cero,15.91810,146.08300,48.65700,0,-1,
cero,11.93020,342.64300,31.00290,0,-1,
cero,12.24320,262.81800,30.03040,0,-1,
cero,11.51850,143.87600,37.81180,0,-1,
cero,12.08570,250.71700,33.00360,0,-1,
cero,13.71430,89.32320,34.14290,0,-1,
cero,12.07690,255.84200,34.00320,0,-1,
cero,13.61540,202.72300,34.94230,0,-1,
cero,12.21950,146.20200,37.02740,0,-1,
cero,15.51210,147.04100,38.07480,0,-1,
cero,12.37500,31.93950,32.06250,0,-1,
cero,13.38460,105.31700,30.69230,0,-1,
cero,13.94580,131.84900,32.46730,0,-1,
cero,13.83870,169.06600,44.45560,0,-1,
cero,14.33790,25.30870,38.30230,0,-1,
cero,13.85710,40.42840,39.00600,0,-1,
cero,11.82350,6.46562,32.01470,0,-1,
cero,11.80000,216.56600,36.01670,0,-1,
cero,11.19230,311.64600,39.47110,0,-1,
cero,13.58820,37.56110,32.59560,0,-1,
cero,13.22220,359.21000,33.56020,0,-1,
cero,14.73050,30.57720,38.81900,0,-1,
cero,12.53270,0.18926,39.14060,0,-1,
cero,12.27270,213.74400,40.04550,0,-1,
cero,11.82350,124.59800,32.01470,0,-1,
cero,12.17650,62.52970,30.01470,0,-1,
cero,15.48850,127.41100,35.28230,0,-1,
cero,12.81820,13.27250,34.30680,0,-1,
cero,13.23530,27.43170,35.72060,0,-1,
cero,12.68180,156.73900,38.28410,0,-1,
cero,13.25810,199.96800,33.68140,0,-1,
cero,12.86670,69.98670,35.46940,0,-1,
cero,13.60000,331.21300,34.06670,0,-1,
cero,14.11110,153.98000,34.67130,0,-1,
cero,14.25000,313.38400,31.68750,0,-1,
cero,13.98410,177.25000,34.73270,0,-1,
cero,12.36590,352.64200,31.07620,0,-1,
cero,13.83690,71.84440,40.46980,0,-1,
cero,12.77140,104.33100,31.28930,0,-1,
cero,11.71430,67.77450,32.04760,0,-1,
cero,12.11540,194.54700,42.00960,0,-1,
cero,14.27270,147.51300,45.36740,0,-1,
cero,11.48280,345.79900,40.10780,0,-1,
cero,12.17650,231.04600,33.01470,0,-1,
cero,11.40000,91.60290,30.15000,0,-1,
cero,12.30000,169.32000,36.05000,0,-1,
cero,13.34480,243.01000,35.72850,0,-1,
cero,13.86650,66.56720,43.39070,0,-1,
cero,13.13790,47.59930,30.52150,0,-1,
cero,14.60490,174.50900,32.21950,0,-1,
cero,11.37740,66.50030,34.19020,0,-1,
cero,12.51720,60.91520,30.10780,0,-1,
