id,a0,1,a2,a3,a4
cero,13.6,183.729,32.0667,0,-1
cero,15.5714,126.128,35.7202,0,-1
cero,12.9512,267.773,39.5152,0,-1
cero,13.1808,259.903,33.6533,0,-1
cero,14.7153,241.273,39.1176,0,-1
cero,13.4358,249.195,32.8588,0,-1
cero,13.0909,244.363,33.3636,0,-1
cero,11.449,233.184,36.2066,0,-1
cero,12.2727,263.986,30.0341,0,-1
cero,14,293.177,31.3333,0,-1
cero,11.5612,272.633,33.0752,0,-1
cero,12.6667,289.549,33.2222,0,-1
cero,12.566,266.123,34.2171,0,-1
cero,14.4375,279.549,41.6406,0,-1
cero,11.7097,219.203,35.0363,0,-1
cero,12.4286,354.856,31.0893,0,-1
cero,14.3333,291.141,33.0417,0,-1
cero,12.1962,238.895,30.3103,0,-1
cero,13.7143,287.945,32.1429,0,-1
cero,10.7368,264.296,31.8421,0,-1
cero,11.1667,263.779,42.3472,0,-1
cero,11.1667,242.866,60.6944,0,-1
cero,14.0455,280.81,44.5568,0,-1
cero,10.8462,250.791,34.4808,0,-1
cero,12.2,240.613,34.0167,0,-1
cero,14.0526,294.727,56.2237,0,-1
cero,12.8462,299.069,53.3878,0,-1
cero,11.534,243.592,54.8561,0,-1
cero,12.2542,258.972,33.053,0,-1
cero,10.2273,311.437,55.9205,0,-1
cero,12.5328,277.345,48.0937,0,-1
cero,11.4,274.104,30.15,0,-1
cero,14.8051,285.861,36.4871,0,-1
cero,12.4412,257.135,74.1838,0,-1
cero,11.662,249.113,31.0501,0,-1
cero,11.9362,273.386,33.0027,0,-1
cero,14.1429,268.223,37.7857,0,-1
cero,11.6822,263.697,39.9338,0,-1
cero,10.3892,275.166,39.9595,0,-1
cero,12,270.121,46,0,-1
cero,10.8333,264.304,33.6806,0,-1
cero,12.1,281.739,50.0083,0,-1
cero,12.871,338.043,31.3266,0,-1
cero,13.0976,303.092,35.686,0,-1
cero,13.0435,251.453,46.6956,0,-1
cero,11.9268,322.943,30.0031,0,-1
cero,12,288.645,34,0,-1
cero,13.2,266.962,38.6,0,-1
cero,11.3182,221.265,38.2841,0,-1
cero,11.6154,287.247,31.0801,0,-1
cero,11.3415,268.245,40.2469,0,-1
cero,13.0364,288.823,44.8205,0,-1
cero,12.9091,285.104,64.7576,0,-1
cero,15,303.452,32.5,0,-1
cero,11.9189,294.27,41.0056,0,-1
cero,12.959,284.468,34.4839,0,-1
cero,18,246.923,40,0,-1
cero,13.5882,231.516,37.1912,0,-1
cero,12.7473,292.096,55.4844,0,-1
cero,12.8182,103.433,43.6136,0,-1
cero,11.9091,239.252,36.0038,0,-1
cero,13.2362,283.866,36.6613,0,-1
cero,11.9388,260.127,41.0025,0,-1
cero,12.9403,124.698,70.8228,0,-1
cero,10.8621,285.307,33.5216,0,-1
cero,11.0426,267.401,46.5984,0,-1
cero,14.4706,111.85,41.8823,0,-1
cero,11.8246,268.587,40.184,0,-1
cero,12.283,90.5117,39.059,0,-1
cero,12.75,113.855,35.1875,0,-1
cero,11.1176,112.441,33.5515,0,-1
cero,11.1702,202.077,34.4495,0,-1
cero,12.4615,131.301,42.0769,0,-1
cero,11.2222,255.372,31.2269,0,-1
cero,14.1637,187.976,52.9355,0,-1
cero,12.6,171.122,33.125,0,-1
cero,13.3636,185.808,49.1364,0,-1
cero,11.3478,292.304,30.2717,0,-1
cero,14.6093,186.973,54.3238,0,-1
cero,14.0039,345.985,38.605,0,-1
cero,12.239,198.004,34.0309,0,-1
cero,14.8653,321.476,46.0011,0,-1
cero,11.449,211.595,30.2066,0,-1
cero,11.8894,225.124,40.143,0,-1
cero,13.8649,286.991,36.7872,0,-1
cero,12.3959,316.166,48.1379,0,-1
cero,10.7143,259.544,30.4821,0,-1
cero,12.9413,229.942,33.3268,0,-1
cero,12.1547,291.24,33.4084,0,-1
cero,12.9231,228.498,33.3077,0,-1
cero,12,226.877,34,0,-1
cero,11.1951,268.286,30.3689,0,-1
cero,13.5,227.417,55.5,0,-1
cero,13.8,338.503,33.125,0,-1
cero,11.8,77.2259,33.0083,0,-1
cero,12.6,10.7783,33.15,0,-1
cero,13.3636,5.09335,30.5682,0,-1
cero,12.9231,285.966,31.3077,0,-1
cero,14.5556,266.759,35.4491,0,-1
cero,15,311.456,32.875,0,-1
cero,11.75,227.863,35.0417,0,-1
cero,13.3784,23.3312,38.9763,0,-1
cero,12.9191,273.735,32.3593,0,-1
cero,12.2632,258.974,40.0548,0,-1
cero,13.5428,300.027,39.2679,0,-1
cero,12.8467,215.794,33.3754,0,-1
cero,12.1355,301.6,33.0059,0,-1
cero,12.6,246.303,34.2,0,-1
cero,12,244.687,39,0,-1
cero,11.4,249.685,30.2,0,-1
cero,12.6316,177.33,30.2105,0,-1
cero,12.5172,264.853,36.2155,0,-1
cero,11.7692,259.086,33.0288,0,-1
cero,14.1667,266.813,42.3472,0,-1
cero,11.4,78.2227,30.175,0,-1
cero,14.3333,292.468,41.0417,0,-1
cero,13.32,131.817,34.605,0,-1
cero,13.6553,52.4282,36.9809,0,-1
cero,13.6373,275.68,40.1719,0,-1
cero,14.7692,234.693,37.7692,0,-1
cero,11.3226,263.198,32.1976,0,-1
cero,13.2,187.324,51,0,-1
cero,12.4286,231.123,33.0357,0,-1
